,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Temp,Wind Speed
223,shchuchye,0,PK,1554615273,42,28.16,69.73,93.3,8.19
224,shchuchye,20,RU,1554613200,75,58.45,56.42,41,4.47
225,shchuchye,75,MZ,1554613200,94,-15.12,39.26,75.2,6.93
226,shchuchye,0,RU,1554615274,89,66.56,67.8,28.32,18.48
227,shchuchye,20,PF,1554613354,70,-17.73,-149.15,86,5.82
228,shchuchye,68,TZ,1554615275,100,-7.91,39.67,81.96,7.74
229,shchuchye,0,TD,1554615730,16,14.53,20.93,77.82,9.42
230,shchuchye,0,na,0,0,0,0,0,0
231,shchuchye,0,JP,1554614644,26,35.03,136.69,77,11.41
232,shchuchye,0,ZM,1554615276,95,-10.21,31.19,67.47,4.61
233,shchuchye,20,JP,1554613200,60,31.65,131.31,71.6,12.75
234,shchuchye,0,IN,1554613200,66,21.64,69.61,86,8.05
235,shchuchye,0,na,0,0,0,0,0,0
236,shchuchye,40,GA,1554613200,88,-0.72,8.78,80.6,3.36
237,shchuchye,88,NZ,1554615012,90,-39.04,177.43,57.99,5.01
238,shchuchye,90,US,1554615419,88,30.04,-94.42,73.4,13.87
239,shchuchye,12,HT,1554615616,74,18.24,-72.54,78.8,13.87
240,shchuchye,75,CA,1554615066,100,44.65,-63.58,37,13.87
241,shchuchye,1,US,1554615323,93,36.85,-75.98,52,4.7
242,shchuchye,44,CA,1554615521,84,43.74,-81.71,48,5.01
243,shchuchye,8,RU,1554615577,73,67.46,153.71,21.57,3.27
244,shchuchye,12,ID,1554615278,75,-8.11,115.08,84.66,2.15
245,shchuchye,0,PL,1554614986,72,54.18,15.58,41,2.71
246,shchuchye,20,BR,1554613200,94,-5.2,-35.46,77,2.24
247,shchuchye,0,SA,1554615279,56,25.02,37.27,78.36,4.72
248,shchuchye,0,ZA,1554615426,83,-34,24.73,61.17,11.65
249,shchuchye,0,FI,1554612600,79,64.22,27.73,26.6,1.12
250,shchuchye,0,MG,1554615734,59,-25.17,45.06,83.13,11.43
